date,open,high,low,close,vwap,vol
1740499200,1.0010,1.0015,1.0008,1.0012,1.0010,2469678.16222059
1740513600,1.0011,1.0012,1.0008,1.0012,1.0010,2644156.66601173
1740528000,1.0012,1.0014,1.0010,1.0011,1.0011,3055438.56520037
1740542400,1.0011,1.0013,1.0007,1.0007,1.0010,2968148.22055337
1740556800,1.0008,1.0059,1.0003,1.0007,1.0008,8289208.10275321
1740571200,1.0007,1.0012,1.0001,1.0010,1.0009,12129061.88122659
1740585600,1.0011,1.0012,1.0005,1.0010,1.0009,11354865.45673572
1740600000,1.0011,1.0016,1.0010,1.0014,1.0013,6314852.74265734
1740614400,1.0014,1.0014,1.0010,1.0011,1.0012,1290115.05873692
1740628800,1.0011,1.0012,1.0006,1.0007,1.0009,2283036.64710043
1740643200,1.0007,1.0009,1.0005,1.0008,1.0007,4039756.77444786
1740657600,1.0007,1.0010,1.0004,1.0005,1.0007,5525053.53754662
1740672000,1.0005,1.0022,1.0005,1.0012,1.0010,4819554.81672689
1740686400,1.0013,1.0014,1.0007,1.0008,1.0011,3350191.60774180
1740700800,1.0008,1.0011,1.0006,1.0010,1.0008,5244357.54715188
1740715200,1.0010,1.0011,1.0008,1.0011,1.0009,6667420.95171321
1740729600,1.0011,1.0013,1.0004,1.0007,1.0007,4716864.91288693
1740744000,1.0007,1.0008,1.0000,1.0001,1.0006,12420984.73343619
1740758400,1.0001,1.0002,0.9999,1.0002,1.0000,1882998.44652343
1740772800,1.0002,1.0006,1.0001,1.0003,1.0003,2572390.49557525
1740787200,1.0003,1.0005,1.0002,1.0003,1.0003,2364639.59678833
1740801600,1.0002,1.0004,1.0001,1.0004,1.0001,871084.63377321
1740816000,1.0003,1.0004,1.0001,1.0003,1.0002,238768.80770901
1740830400,1.0003,1.0005,1.0002,1.0004,1.0003,333177.01645980
1740844800,1.0003,1.0005,1.0002,1.0005,1.0003,740771.13274408
1740859200,1.0004,1.0005,1.0002,1.0002,1.0003,713031.87054853
1740873600,1.0002,1.0005,1.0002,1.0003,1.0003,1418701.70204344
1740888000,1.0003,1.0005,1.0003,1.0003,1.0003,658402.04906410
1740902400,1.0004,1.0005,1.0002,1.0004,1.0003,2473847.94009676
1740916800,1.0004,1.0005,1.0001,1.0001,1.0003,3704305.20989729
1740931200,1.0002,1.0003,0.9993,1.0000,0.9999,10622246.80450318
1740945600,1.0001,1.0001,0.9998,0.9999,1.0000,1095052.51635939
1740960000,0.9999,1.0003,0.9999,1.0003,1.0001,4566570.10109187
1740974400,1.0002,1.0003,1.0002,1.0002,1.0002,6676394.39145667
1740988800,1.0003,1.0004,1.0001,1.0003,1.0002,5717519.67211181
1741003200,1.0003,1.0006,1.0000,1.0006,1.0002,7134073.97098255
1741017600,1.0006,1.0008,1.0000,1.0007,1.0003,5004934.24166217
1741032000,1.0006,1.0009,1.0004,1.0007,1.0006,1751129.13840431
1741046400,1.0006,1.0007,1.0004,1.0004,1.0005,4226271.28928454
1741060800,1.0005,1.0006,1.0004,1.0006,1.0005,4116852.83230116
1741075200,1.0006,1.0007,1.0003,1.0004,1.0004,3535326.30129341
1741089600,1.0004,1.0009,1.0004,1.0006,1.0005,6055514.49263819
1741104000,1.0006,1.0007,1.0000,1.0002,1.0002,5457876.86517749
1741118400,1.0001,1.0003,0.9999,1.0001,1.0000,2668252.04892806
1741132800,1.0001,1.0003,1.0000,1.0003,1.0002,2571988.13125445
1741147200,1.0003,1.0003,1.0000,1.0001,1.0000,1151921.33271970
1741161600,1.0001,1.0002,0.9999,1.0000,0.9999,6447068.43469632
1741176000,1.0000,1.0001,0.9998,1.0000,0.9999,5483087.53653995
1741190400,1.0000,1.0002,0.9999,1.0001,1.0000,3192704.79032794
1741204800,1.0001,1.0001,0.9998,0.9999,0.9999,694930.52151794
1741219200,1.0000,1.0000,0.9999,1.0000,0.9999,1023518.59877223
1741233600,0.9999,1.0000,0.9998,1.0000,0.9999,1049552.45361740
1741248000,1.0000,1.0001,0.9998,1.0000,0.9999,4439583.20652754
1741262400,1.0000,1.0003,0.9999,1.0000,1.0000,3800699.87139048
1741276800,1.0000,1.0001,0.9999,1.0000,1.0000,1517517.78219453
1741291200,0.9999,1.0000,0.9998,0.9999,0.9999,2920933.48169487
1741305600,1.0000,1.0000,0.9997,0.9999,0.9998,985904.62061488
1741320000,0.9999,1.0003,0.9998,0.9998,1.0000,3717519.92073961
1741334400,0.9999,1.0000,0.9998,0.9999,0.9998,3204692.69937060
1741348800,0.9999,1.0005,0.9997,0.9998,0.9998,4753746.51301420
1741363200,0.9998,1.0003,0.9998,1.0001,1.0000,4883238.06466593
1741377600,1.0001,1.0003,1.0001,1.0003,1.0002,2708131.90813892
1741392000,1.0003,1.0003,1.0001,1.0002,1.0002,775814.74586235
1741406400,1.0003,1.0003,1.0000,1.0001,1.0001,407305.56546650
1741420800,1.0001,1.0002,1.0000,1.0002,1.0000,2036619.43734289
1741435200,1.0002,1.0003,1.0001,1.0002,1.0002,3674458.47187558
1741449600,1.0003,1.0003,1.0002,1.0002,1.0002,584222.22962630
1741464000,1.0003,1.0003,1.0001,1.0001,1.0002,126784.51377786
1741478400,1.0001,1.0002,1.0001,1.0001,1.0001,74316.44555385
1741492800,1.0001,1.0002,1.0001,1.0001,1.0001,1096170.19779367
1741507200,1.0001,1.0003,1.0000,1.0001,1.0001,2904119.99726567
1741521600,1.0001,1.0002,1.0000,1.0001,1.0000,1103220.29684747
